s,m,m,m,C,C,C
Time,"Visibility_MEAN","Visibility_MIN","Visibility_MAX","Temperature_MEAN","Temperature_MIN","Temperature_MAX"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 2.8697130E-001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999990E+001, 1.9999953E+001, 2.0000045E+001
 5.7394261E-001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000112E+001, 2.0000059E+001, 2.0000192E+001
 8.6091391E-001, 2.9995983E+001, 9.1521081E-001, 3.0000000E+001, 2.0001937E+001, 2.0001867E+001, 2.0002040E+001
 1.1478852E+000, 2.9985474E+001, 3.3568136E-001, 3.0000000E+001, 2.0005265E+001, 2.0005179E+001, 2.0005391E+001
 1.4348565E+000, 2.9983289E+001, 1.8482297E-001, 3.0000000E+001, 2.0006754E+001, 2.0006653E+001, 2.0006904E+001
 1.7218278E+000, 2.9975159E+001, 1.3846548E-001, 3.0000000E+001, 2.0008900E+001, 2.0008783E+001, 2.0009073E+001
 2.0087991E+000, 2.9964936E+001, 1.2993186E-001, 3.0000000E+001, 2.0011522E+001, 2.0011389E+001, 2.0011717E+001
 2.2957704E+000, 2.9950292E+001, 1.3866741E-001, 3.0000000E+001, 2.0016859E+001, 2.0016712E+001, 2.0017077E+001
 2.5468454E+000, 2.9937846E+001, 1.5623922E-001, 3.0000000E+001, 2.0020647E+001, 2.0020486E+001, 2.0020884E+001
 2.7979204E+000, 2.9922507E+001, 1.6143257E-001, 3.0000000E+001, 2.0027383E+001, 2.0027209E+001, 2.0027639E+001
 2.9766629E+000, 2.9913343E+001, 1.6568982E-001, 3.0000000E+001, 2.0030948E+001, 2.0030796E+001, 2.0031263E+001
 3.1554053E+000, 2.9898522E+001, 1.8145681E-001, 3.0000000E+001, 2.0037896E+001, 2.0037697E+001, 2.0038267E+001
 3.3341478E+000, 2.9881573E+001, 1.8207124E-001, 3.0000000E+001, 2.0041370E+001, 2.0041126E+001, 2.0041799E+001
 3.6355916E+000, 2.9859822E+001, 1.8546400E-001, 3.0000000E+001, 2.0048843E+001, 2.0048543E+001, 2.0049326E+001
 3.7863135E+000, 2.9837788E+001, 1.8346415E-001, 3.0000000E+001, 2.0055583E+001, 2.0055190E+001, 2.0056119E+001
 4.0877574E+000, 2.9811134E+001, 1.8593631E-001, 3.0000000E+001, 2.0063004E+001, 2.0062514E+001, 2.0063611E+001
 4.3892012E+000, 2.9777186E+001, 1.9012946E-001, 3.0000000E+001, 2.0073148E+001, 2.0072527E+001, 2.0073874E+001
 4.5399231E+000, 2.9753337E+001, 1.9350825E-001, 3.0000000E+001, 2.0080311E+001, 2.0079591E+001, 2.0081126E+001
 4.8245429E+000, 2.9729096E+001, 1.9453068E-001, 3.0000000E+001, 2.0087121E+001, 2.0086308E+001, 2.0088020E+001
 5.0923386E+000, 2.9696806E+001, 1.9093498E-001, 3.0000000E+001, 2.0096159E+001, 2.0095228E+001, 2.0097162E+001
 5.3601343E+000, 2.9662810E+001, 1.8940513E-001, 3.0000000E+001, 2.0105110E+001, 2.0104061E+001, 2.0106217E+001
 5.6279300E+000, 2.9627189E+001, 1.9256876E-001, 3.0000000E+001, 2.0114232E+001, 2.0113061E+001, 2.0115445E+001
