s,m,m,m,C,C,C
Time,"Visibility_MEAN","Visibility_MIN","Visibility_MAX","Temperature_MEAN","Temperature_MIN","Temperature_MAX"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 8.6091391E-001, 2.9998659E+001, 2.0304991E+001, 3.0000000E+001, 2.0000134E+001, 1.9999030E+001, 2.0001206E+001
 1.7218278E+000, 2.9981295E+001, 2.1938010E-001, 3.0000000E+001, 2.0000275E+001, 1.9998634E+001, 2.0001770E+001
 2.5434403E+000, 2.9951729E+001, 1.4041749E-001, 3.0000000E+001, 2.0000305E+001, 1.9998879E+001, 2.0001669E+001
 3.3241535E+000, 2.9905924E+001, 1.7037539E-001, 3.0000000E+001, 2.0000544E+001, 1.9999186E+001, 2.0002044E+001
 4.0763759E+000, 2.9836683E+001, 1.8384557E-001, 3.0000000E+001, 2.0001509E+001, 1.9999836E+001, 2.0003471E+001
 4.8115499E+000, 2.9754637E+001, 1.9108315E-001, 3.0000000E+001, 2.0002530E+001, 2.0000286E+001, 2.0005242E+001
 5.6119267E+000, 2.9664329E+001, 1.8928272E-001, 3.0000000E+001, 2.0003411E+001, 2.0000537E+001, 2.0007066E+001
 6.4123034E+000, 2.9555951E+001, 1.9607444E-001, 3.0000000E+001, 2.0004240E+001, 2.0000606E+001, 2.0008722E+001
 7.2126801E+000, 2.9422482E+001, 1.9975600E-001, 3.0000000E+001, 2.0004715E+001, 2.0000524E+001, 2.0009695E+001
 8.0130568E+000, 2.9257310E+001, 1.9660568E-001, 3.0000000E+001, 2.0004904E+001, 2.0000476E+001, 2.0010163E+001
 8.8134335E+000, 2.9040501E+001, 1.9940735E-001, 3.0000000E+001, 2.0004907E+001, 2.0000461E+001, 2.0010303E+001
 9.6138102E+000, 2.8772178E+001, 2.0756298E-001, 3.0000000E+001, 2.0004760E+001, 2.0000466E+001, 2.0010145E+001
 1.0414187E+001, 2.8501630E+001, 2.1117085E-001, 3.0000000E+001, 2.0004528E+001, 2.0000475E+001, 2.0009875E+001
 1.1214564E+001, 2.8212327E+001, 2.2345529E-001, 3.0000000E+001, 2.0004328E+001, 2.0000500E+001, 2.0009853E+001
 1.2014940E+001, 2.7908040E+001, 2.2573552E-001, 3.0000000E+001, 2.0004153E+001, 2.0000460E+001, 2.0009593E+001
 1.2815317E+001, 2.7615495E+001, 2.3506772E-001, 3.0000000E+001, 2.0004020E+001, 2.0000383E+001, 2.0009170E+001
 1.3669052E+001, 2.7339529E+001, 2.2953299E-001, 3.0000000E+001, 2.0003979E+001, 2.0000333E+001, 2.0008851E+001
 1.4402731E+001, 2.7066963E+001, 2.3610928E-001, 3.0000000E+001, 2.0003969E+001, 2.0000318E+001, 2.0008724E+001
 1.5283145E+001, 2.6785655E+001, 2.3850497E-001, 3.0000000E+001, 2.0004028E+001, 2.0000392E+001, 2.0008741E+001
 1.6016824E+001, 2.6505114E+001, 2.3392019E-001, 3.0000000E+001, 2.0004187E+001, 2.0000555E+001, 2.0008815E+001
 1.6876107E+001, 2.6223442E+001, 2.2909818E-001, 3.0000000E+001, 2.0004484E+001, 2.0000778E+001, 2.0008866E+001
 1.7679976E+001, 2.5940735E+001, 2.3146469E-001, 3.0000000E+001, 2.0005042E+001, 2.0001142E+001, 2.0009062E+001
